,id,lender_norm1,status,business description
429,426,Pacific Business Capital Corporation,,
430,427,"Noreast Management, LLC",,
431,428,Evergreen Funding Corporation,Acquired,"As of December 18, 2006, EFC Partners, LP was acquired by Wells Fargo & Company. EFC Partners, LP, doing business as Evergreen Funding Corp., provides financing based on accounts receivable to various businesses. The company was founded in 1990 and is based in Dallas, Texas."
432,429,"Barclays Factoring, S.A",Operating Subsidiary,"Barclays Factoring S.A. Establecimiento Financiero De Credito provides factoring services. The company was incorporated in 1985 and is based in Madrid, Spain. Barclays Factoring S.A. Establecimiento Financiero De Credito operates as a subsidiary of CaixaBank, S.A."
433,430,Bay View Funding ( BVF ),,
434,431,"Rockland Credit Finance, LLC",,
435,432,BridgingFactor Inc,,
436,433,Pacific Business Funding Corporation,,
437,434,Far West Capital,,"Far West Capital Inc. is based in Midvale, Utah."
438,435,Lighthouse Capital Partners,Liquidating,"Lighthouse Capital Partners is liquidating. Lighthouse Capital Partners is a private equity, venture capital, and venture debt firm specializing in debt and equity financing to start-ups, early, mid venture, middle market, late venture, growth stage, and expansion stage companies. The firm seeks to invest in growth capital; operating capital for product development, product or geographic expansion, acquisition of technology, and equipment financing. The fund prefers to invest in equipment leases and loans, working capital, subordinated debt, and convertible debt. It seeks to invest in information technology, financial technology, life science, and clean tech companies, communications, e-commerce, Internet, Internet infrastructure, semiconductors, biotechnology, website infrastructure software, software, and data storage. It primarily invests in Europe and the U.S.A. The firm typically invests between $1 million and $10 million per transaction. Lighthouse Capital Partners was founded in June 1994 and is based in Greenbrae, California with additional offices in Menlo Park, California, Cambridge, Massachusetts, and Waltham, Massachusetts."
439,436,Key Capital Factoring,,
440,437,Franklin Capital Corporation,Operating Subsidiary,Franklin Capital Corp. operates as a subsidiary of Franklin Resources Inc.
441,438,Capital Business Credit LLC,Operating Subsidiary,"White Oak Commercial Finance, LLC provides advances and credit guarantees through the sale of receivables for companies and businesses in the United States and Asia. It offers trade finance, asset based lending, customized factoring, accounts receivable purchasing, advance payment programs, commercial services, full-service factoring, letters of credit, inventory lending, and international financing. The company serves suppliers, importers, non-domestic exporters, wholesalers, manufacturers, distributors, service providers, and retailers. White Oak Commercial Finance, LLC was formerly known as Capital Business Credit LLC and changed its name to White Oak Commercial Finance, LLC in December 2016. The company was founded in 1987 and is based in New York, New York with additional offices and locations in Charlotte, North Carolina; Los Angeles, California; Fort Lauderdale, Florida; Hong Kong; and Shanghai, China. White Oak Commercial Finance, LLC operates as a subsidiary of Capital Factors, Inc."
442,439,"LSQ Funding Group, L.C.",,
443,440,"Summit Financial Resources, L.P",,"Summit Financial Resources, L.P. provides working capital financing to small and medium-sized businesses in the United States. It offers working capital lines in the form of asset-based lending, ABL flex, factoring, and inventory financing. The company provides financing for various needs, such as sales growth, business acquisition, sales seasonality, refinance, business turnaround, debtor-in-possession, and start-up or early stage companies. It serves clients operating in various industries, such as manufacturing, wholesaling, staffing, transportation, distribution, and services. Summit Financial Resources, L.P. was founded in 1987 and is based in Salt Lake City, Utah."
444,441,Bibby Trade Services Ltd,,
445,442,the UK bank,,"The Uk Bank Ltd is an asset management company. It operates as an unit trust. It was incorporated in 2007 and is headquartered in Norwich, United Kingdom."
446,443,"KBK Financial, Inc",,"Kbk Finance Services Limited operates as a research and consulting services company. It offers advice, guidance, and operational assistance to businesses and other organisations on management issues, such as corporate strategic and organisational planning, business process re-engineering, change management, marketing objectives and policies,. The company was incorporated in 2018 and is based in Nottingham, United Kingdom."
447,444,"HARBORCOVE FUND I, LP (dba Harborcove Healthcare Finance)",,
448,445,"Agility Capital, LLC",,"Agility Capital, LLC is a venture debt firm specializing in mezzanine financing, primary bridge loans, lines of credit, factoring lines of credit, non-formula lines of credit, and restructuring debt. It also invests in turnarounds, emerging growth, early mid and late ventures. It prefers to invest in technology companies. The firm provides short term loans to private venture-backed and small cap public companies. Agility Capital, LLC was founded in 2000 and is based in Santa Barbara, California."
449,446,"Marble Bridge Funding Group, Inc. ",,
450,447,"ENGS Commercial Capital, LLC",,
451,448,"Churchill Investments, Inc.",,No business description exists.
452,449,Capstone Business Credit LLC ,,
453,450,American Chartered Bank,Acquired,"As of August 24, 2016, American Chartered Bank was acquired by MB Financial Bank, National Association. American Chartered Bank is a commercial and retail bank that provides personal and business banking services. Its personal banking services include checking accounts, savings accounts, electronic banking, and debit cards; and business banking services include business accounts, savings and investing, treasury management, electronic banking, and debit cards. The company also provides health savings accounts, credit cards, and mortgage lending services. It serves privately owned small- and medium-sized businesses and individual clients throughout the Chicagoland area. The company was founded in 1987 and is based in Schaumburg, Illinois. It has branches in Chicago, Northbrook, Downers Grove, Elk Grove Village, Mount Prospect, Tinley Park, Schaumburg, Bloomingdale, Palatine, Warrenville, Bartlett, Vernon Hills, South Barrington, Lake Zurich, and Mundelein, Illinois. American Chartered Bank operates as a subsidiary of American Chartered Bancorp, Inc."
454,451,"Itochu International, Inc.",Operating Subsidiary,"ITOCHU International Inc. engages in textile, machinery, metals and minerals, energy and chemicals, food, general products and realty, and information and communication technologies (ICT) and financial businesses. The company designs and manufactures textiles, apparel, and accessories; invests in non-ferrous, uranium, and coal mining projects; trades nuclear fuel; exports metallurgical coal and thermal coal; provides maintenance, repair, overhaul, and rebuilding services for heavy production equipment and controls; and provides operations, maintenance, construction, engineering, and technical support for energy facilities. The company also develops independent power projects; manufactures and supplies light to medium construction equipment, power generators, and lighting equipment; and provides engineering and design, operation, and support for hospitality and healthcare industries. In addition, the company offers engine-driven generators, wielders, and air compressors; manufactures and exports small mixers and mounted trucks; and distributes and markets inorganic, organic, functional, and specialty chemicals. Further, the company manufactures water-based adhesives, hot melt adhesives, and dry blended adhesives; offers adhesives formulations; processes vegetable oils; provides feed additives, feed ingredients, and grains; exports chilled and frozen beef and pork; imports, exports, and distributes frozen vegetables and fruits, seafood, and rice; operates an export grain terminal; provides services for grain farmers; provides transportation and logistics services; manufactures and distributes perimeter fencing; manufactures private label engineered wood products; and distributes broadband communication products. ITOCHU International Inc. was formerly known as C. Itoh & Co. (America), Inc. and changed its name to ITOCHU International Inc. in September 1992. The company was founded in 1918 and is based in New York, New York. ITOCHU International Inc. operates as a subsidiary of ITOCHU Corporation."
455,452,PM Factors Bancorp ,,
456,453,"Mackinac Commercial Credit, LLC",,
457,454,Universal Funding Corporation,,"Universal Funding Corporation operates as an invoice factoring company. The company offers capital funding programs, cash flow management, business-to-business transactions, and consulting services, as well as provides personalized factoring solutions, personal services, factoring invoices, account receivables financing, receivables financing, purchase order funding, and purchase order financing services. It serves business service providers, manufacturing and fabrication companies, printing and publishing companies, staffing and temporary personnel markets, oil/gas/energy/mining companies, transportation/trucking sectors, and wholesale and distributing companies for short term, long term, and permanent needs in the United States. The company was founded in 1998 and is headquartered in Spokane, Washington."
458,455,ABC Factors,,
459,456,Quantum Corporate Funding,,
460,457,TruServ's By-Laws and the Retail Member,,
461,458,First Francis Company Inc.,,
462,459,"Mr. Brooks, the Company's VP of Operations",,
463,460,"Variosystems, Inc",Operating Subsidiary,"Variosystems, Inc. provides contract electronic manufacturing services in North America. The company’s services include engineering, procurement, manufacturing, supply chain, systems integration, order fulfillment, project management, logistics, test/inspection, hole/press fit soldering, and potting/conformal coating. It serves customers in telecommunications, medical, aerospace, and automotive industries. The company was founded in 1999 and is based in Southlake, Texas. Variosystems, Inc. operates as a subsidiary of Variosystems AG."
464,461,"Capefirst Funding, LLC",,
465,462,"New Age Staffing, Inc. ",,
466,463,AGC Funding Corporation,,
467,464,"CSI Business Finance, Inc.",Operating Subsidiary,"CSI Business Finance, Inc. provides finance to micro cap companies. The company provides finances to small companies for debt collection and law firms for pursuing legitimate substantial damages on behalf of their clients. The company is based in the United States. CSI Business Finance, Inc. operates as a subsidiary of AppTech Corp."
468,465,United Capital Funding of Florida,,
469,466,Capital Royalty Partners II L.P.,,Capital Royalty Partners II - Parallel Fund A LP is a fund of CRG.
470,467,"Powerup Lending Group, Ltd",,"PowerUp Lending Group, Ltd. provides funds to public and private companies in the United States. It offers small business loans, business loan refinancing, and merchant cash advances; and transportation loans. The company serves accounting firms, car dealerships, convenience stores, creative agencies, dry cleaners, equipment supply firms, gas stations, debt consolidation companies, IT companies, manufacturing companies, medical offices, medical supply companies, pharmacies, restaurants, retail stores, and auto supply clients. PowerUp Lending Group, Ltd. was founded in 2015 and is based in Great Neck, New York."
471,468,CapitalSource Finance LLC,Operating Subsidiary,"CapitalSource Finance LLC provides commercial loans to small and middle-market businesses in the United States. The company offers asset-based lending, commercial and construction real estate finance, data center finance, equipment leasing and finance, healthcare finance, lender finance, leveraged finance, multifamily finance, premium finance, resort finance, security finance, and small business lending services. It also offers business depository and cash management solutions. The company was incorporated in 2000 and is based in Chevy Chase, Maryland. It has additional offices in Los Angeles, Denver, Chicago, Boston, New York, and Atlanta. CapitalSource Finance LLC operates as a subsidiary of PacWest Bancorp."
472,469,CS First Boston ,Operating Subsidiary,CS First Boston Limited operates as a subsidiary of Credit Suisse AG.
473,470,"GT Distribution, LLC ",,"GT Distribution, LLC is engaged in selling, renting, leaseing and servicing of material handling equipment. The company is also involved in the manufacture of electric forklifts and distribution of industrial parts."
474,471,"Diamond Triumph Autoglass, Inc. ",,
475,472,Canadian chartered bank,,
476,473,DVI Business Credit Corporation,Out of Business,"On December 10, 2004, DVI Business Credit Corporation went out of business as per its Chapter 11 liquidation filing under bankruptcy. DVI Business Credit Corporation offers lines of credit for working capital to healthcare providers in the United States. The company is based in Newport Beach, California with additional address in Jamison, Pennsylvania. DVI Business Credit operates as a subsidiary of DVI, Inc."
477,474,Textron Financial Corporation,Operating Subsidiary,"Textron Financial Corporation operates as a commercial finance company in the United States, South America, Mexico, and internationally. The company provides financing programs for products manufactured by Textron Inc. It offers loans and finance leases to purchasers of new and used Cessna aircraft and Bell helicopters; and loans and finance leases secured by used aircraft produced by other manufacturers. The company also provides loan and lease programs for golf equipment comprising golf cars, specialty vehicles, and turf equipment to golf course owners, club managers, and superintendents. In addition, it manages a portfolio of receivables from various businesses, including asset-based lending, distribution finance, golf mortgage finance, resort finance, and structured capital. Textron Financial Corporation was founded in 1962 and is based in Wichita, Kansas. Textron Financial Corporation operates as a subsidiary of Textron Inc."
478,475,"Gerber Finance, Inc",,"Gerber, LLC provides wealth management and investment advisory services. It focuses on assisting entrepreneurial families integrate their life and business goals with their financial resources. The company offers its services with various types of investments, such as equity securities, corporate and municipal debt securities, certificates of deposit, U.S. government securities, investment company securities, options contracts on securities, interests in partnerships investing in real estate/oil and gas interests, and other investments. It serves individuals, pension and profit sharing plans, trusts, estates, charitable organizations, for-profit and not-for-profit corporations, and other business entities in the United States. The company was founded in 1999 and is based in Columbus, Ohio."
479,476,"Interface, Inc.",,"Interface, Inc., a modular flooring company, designs, produces, and sells modular carpet products primarily in the Americas, Europe, and the Asia-Pacific. The company offers modular carpets under the Interface and FLOR brand names; carpet tiles under the GlasBacRE name for use in commercial interiors, including offices, healthcare facilities, airports, educational and other institutions, hospitality spaces, and retail facilities, as well as residential interiors; modular resilient flooring products; rubber flooring under the norament and noraplan brand names; and luxury vinyl tile products. It also produces and sells an adapted version of its carpet tile for the healthcare facilities market; and two-meter roll goods that are structure-backed for use in education, healthcare, and government markets, as well as carpet replacement, installation, and maintenance services. In addition, the company sells and licenses a proprietary antimicrobial chemical compound under the Intersept name for use in interior finishes; sells TacTiles, a carpet tile installation system, as well as various adhesives and products; and provides turnkey project management services for global accounts and other customers through its InterfaceSERVICES business. It sells its products directly to end-users, as well as indirectly through independent contractors or distributors, and FLOR line of products through Internet sales and commercial sales force. The company has product showrooms or design studios in the United States, Canada, Mexico, England, France, Germany, Spain, the Netherlands, India, Australia, Norway, the United Arab Emirates, Russia, Singapore, Hong Kong, Thailand, China, and others. Interface, Inc. was incorporated in 1973 and is headquartered in Atlanta, Georgia."
480,477,NBC Holdings Corp.,,Bks Prdcls Nwsppr
481,478,Toronto Dominion (Texas) LLC,,
482,479,Thermo Credit LLC.,,
483,480,"Hercules Holding II, LLC",,"Hercules Holding II, LLC operates acute care psychiatric and specialty hospitals. The company was incorporated in 2006 and is based in Nashville, Tennessee."
484,481,Sun Capital,,"Sun Capital Partners, Inc. is a private equity firm specializing in equity and debt investments in acquisitions, leveraged buyouts, underperformers, turnaround, special situation transactions, private businesses, lower mid-market, divisions of larger companies, publicly traded companies, and middle market growth companies. The firm invests globally across all broad and diverse industries with a focus on European Emerging Market and North America. The firm invests in energy, oil and gas, utilities, paper and packaging, food and beverages, B2B commerce, metals and mining, automotive parts, consumer products, fashion & apparel, business services, aerospace and defense, business products, general industrial & distribution, financial services, healthcare and consumer wellness with a focus on Dermatology, digital media and communications, chemical products, building products, telecommunications, marketing, technology, retail and Direct to Consumer, e-commerce, restaurants, manufacturing, auto and heavy duty among others. It invests between $3 million to $400 million in companies that have revenues between $50 million and $5 Billion. The firm makes control and non-control equity investments in both public and private companies and underperforming businesses. The firm prefers to take majority stake in its portfolio companies. It structures its investments through purchase or investment in bank debt, trade claims, seller notes, equity, and high yield securities. Sun Capital Partners, Inc. was founded in 1995 and is based in Boca Raton, Florida with additional offices across the United States, Europe, and Asia."
485,482,"AgSouth Farm Credit, ACA",,
486,483,Wachovia Bank/Wells Fargo,,
487,484,"Directories, LLC",Out of Business,"Directories Limited went out of business. Directories Limited is an IT consulting and services company. It provides planning and designing services for computer systems which integrate computer hardware, software, and communication technologies. It was incorporated in 2018 and is headquartered in Portslade, United Kingdom."
488,485,"Landry Marks Partners, LP",,
489,486,"Goodman Capital Finance (a division of Independent Bank, Sanuwave, Inc.)",,
490,487,Advance Payroll Funding Ltd.,,
491,488,"FirstPlus Financial Group, Inc.",Out of Business,"On February 22, 2012, FIRSTPLUS Financial Group, Inc went out of business as per its Chapter 7 liquidation filing under bankruptcy. FIRSTPLUS Financial Group, Inc., through its subsidiaries, provides various financial products and services in the United States. It offers commercial loan, auto loan, consumer lending, real estate holding, residential and commercial restoration, facility care, and construction management services. The company also provides maintenance repair services for industrial, commercial, and residential facilities; and insurance adjusting services and claims processing services to the general public. It serves residential, commercial, and industrial property owners. The company was incorporated in 1994 and is based in Irving, Texas."
492,489,"Super G Funding, LLC",,"Super G Capital LLC provides business financing solutions. It offers residual and cash flow loans for independent sales organizations, merchant level sales representatives, and ATM IADs. The company also provides insurance agency loans that are used for agency acquisitions, working capital, mezzanine financing, and agency perpetuation plans. In addition, it offers fully amortizing senior and second lien cash flow loans to owners/operators and sponsor backed companies. Further, it offers SaaS funding loans that are used for hiring developers or salespeople, product development, and marketing. Super G Capital LLC was formerly known as Super G Funding, LLC and changed its name to Super G Capital LLC in March 2017. The company was founded in 2008 and is based in Newport Beach, California."
493,490,"SouthStar Financial, LLC",,
494,491,"CIT  Group/Business  Credit,  Inc",Operating Subsidiary,"Cit Group Business Credit, Llc, The operates as a subsidiary of First Citizens BancShares, Inc."
495,492,BFS,,"Saul Centers, Inc. is a self-managed, self-administered equity REIT headquartered in Bethesda, Maryland, which currently operates and manages a real estate portfolio of 60 properties which includes (a) 50 community and neighborhood shopping centers and seven mixed-use properties with approximately 9.8 million square feet of leasable area and (b) three land and development properties. Approximately 85% of the Saul Centers' property operating income is generated by properties in the metropolitan Washington, DC/Baltimore area."
496,493,JECC Corporation,,"JECC corporation engages in the rental and leasing of computers and related equipment. The company was founded in 1961 and is based in Tokyo, Japan."
497,494,NationsBanc Commercial Corporation,,
498,495,FUNB,,
499,496,Merchant Factor Corporation (Merchant or Factor),,
500,497," Valtec Capital, LLC",,"Valtec Capital Corporation is based in Las Vegas, Nevada."
501,498,Key Capital Factoring ,,
502,499,Oasis Capital,,"Oasis Capital, Inc. operates as a financial lender or broker. The company’s brokerage services include process filing, guard against frivolous claims, surety bonds, conversions, and processing. It also provides its service in the area of transportation logistics, contracts, agreements, and arrangements for supplying transportation. Oasis Capital, Inc. is headquartered in La Mirada, California."
503,500,CIT Commercial Services (CIT),,
504,501,Richards Capital Corporation,,"Murphy Richards Capital LLP is an investment banks, brokers and capital markets company. It is based in London, United Kingdom."
505,502,Medical Provider Financial Corporation I,Operating Subsidiary,"Medical Provider Financial Corporation II was founded in 2003 and is based in the United States. Medical Provider Financial Corporation II operates as a subsidiary of Medical Capital Holdings, Inc."
506,503,RZB Finance LLC,Out of Business,"As of 2017, RB International Finance (USA) LLC went out of bsuiness. RB International Finance (USA) LLC, was an asset based finance company, specializes in secured lending for large and mid-sized companies. It provides asset based services, such as working capital, capital equipment, refinancing, acquisitions, leveraged buy-outs, turnarounds, restructurings, recapitalizations, mergers, DIP financing, and trade and export finance. The company also offers commodity and trade finance, corporate structured finance, structured asset backed deal support, export-import bank finance, syndicated credit, and energy finance. It serves airlines and air freight companies, automotive parts manufacturers, automotive parts retailing companies, bus transportation companies, chemicals and fertilizer production companies, construction companies, distributors of books and aircraft parts, food industry, leasing companies, primary metals and metal fabricating companies, retailing companies, and tailored clothing manufacturers in the United States and internationally. RB International Finance (USA) LLC was formerly known as RZB Finance LLC and changed its name to RB International Finance (USA) LLC in October 2010. The company was founded in 1997 and is based in New York, New York with additional offices in Danbury, Connecticut; Chicago and Plainfield, Illinois; and Houston, Texas. RB International Finance (USA) LLC was a subsidiary of Raiffeisen Bank International AG."
507,504,"RTS Financial Service, Inc.",,
508,505,ABN AMRO Commercial Finance,,No business description exists.
509,506,"Evans & Sutherland, Inc.",,No color notes exists.
510,,Evans & Sutherland Computer Corporation,,"Evans & Sutherland Computer Corporation produces and sells visual display systems used primarily in full-dome video projection applications, dome projection screens, and dome architectural treatments in the United States and internationally. The company’s products include planetarium and dome theater systems consisting of proprietary hardware and software, and other visual display systems primarily used to project digital video on large curved surfaces. It also produces content for planetariums, schools, science centers, other educational institutions, and entertainment venues; and show content for its own library that it licenses to customers and for specific customer requirements for planetarium and dome theaters. In addition, the company manufactures and installs metal domes with customized optical coatings and acoustical properties that are used for planetarium and dome theaters, and other custom applications; and designs and supplies geometrically complex structures for customized architectural treatments. Evans & Sutherland Computer Corporation was founded in 1968 and is based in Salt Lake City, Utah. As of March 25, 2020, Evans & Sutherland Computer Corporation was taken private."
511,507,"Access Capital, Inc",,"Access Capital, Inc. operates as a specialty finance (commercial focused) company. It was founded in 1986 and is based in New York, New York."
512,508,"Business
Alliance Capital Corporation",,
513,509,"J.J. Ellis, LLC",,"Jj Ellis Limited operates as a healthcare services company. It offers human health care services. It was incorporated in 2017 and is headquartered in Kent, United Kingdom."
514,510,WFBC,,"Wells Fargo Funds Trust - Wells Fargo Advantage Moderate Balanced Fund is an open ended fund of fund launched and managed by Wells Fargo Funds Management, LLC. It is co-managed by Wells Capital Management Incorporated. The fund invests its corpus in the Wells Fargo C&B Large Cap Value Portfolio, Wells Fargo Disciplined Growth Portfolio, Wells Fargo Equity Income Portfolio, Wells Fargo Index Portfolio, Wells Fargo International Equity Portfolio, Wells Fargo International Growth Portfolio, Wells Fargo International Index Portfolio, Wells Fargo Large Cap Appreciation Portfolio, Wells Fargo Large Cap Value Portfolio, Wells Fargo Large Company Growth Portfolio, Wells Fargo Managed Fixed Income Portfolio, Wells Fargo Overseas Portfolio, Wells Fargo Small Cap Index Portfolio, Wells Fargo Small Company Growth Portfolio, Wells Fargo Small Company Value Portfolio, Wells Fargo Stable Income Portfolio, Wells Fargo Strategic Value Bond Portfolio, Wells Fargo Tactical Maturity Bond Portfolio. It was formerly known as Norwest Advantage Funds - Norwest Advantage Moderate Balanced Fund. Wells Fargo Funds Trust - Wells Fargo Advantage Moderate Balanced Fund was formed on April 30, 1989 and is domiciled in United States."
515,511,Syratech Corporation,Out of Business,"As of February 1, 2010, Syratech Corporation went out of business. Syratech Corporation designs, manufactures, imports, and markets tabletop, giftware, and picture frame products for home entertaining and decoration. The company also manufactures and markets sterling silver flatware and sterling silver, and silver plated hollowware. Its products include stainless steel flatware, picture frames, photo albums, photo storage, glassware, crystal, ceramics, lawn and garden, seasonal decorations and ornaments, lighting, and small furnishings. The company sells its products through various distribution channels, including department and specialty stores, mass market merchandisers and warehouse clubs, drugstores, supermarkets, incentive marketers, and jewelry stores. Syratech Corporation was founded in 1986 and is headquartered in East Boston, Massachusetts with operations in the United States and Hong Kong."
516,512,Scaldis Capital LLC,Out of Business,Scaldis Capital LLC went out of business.
517,513,"Benefactor Group, Inc",,
518,,Benefactor Funding Corp. ,,
519,514,"ROSENTHAL & ROSENTHAL, INC.",Operating Subsidiary,"Rosenthal & Rosenthal, Inc. operates as a specialty finance (commercial focused) company. It operates as a diversified commercial lender. The company is based in New York, New York."
520,515,Bab al Khail General Trading ,,
521,516,Primary Funding Corporation,,
522,517,CIT Group/Commercial Services Inc,Operating Subsidiary,"The CIT Group/Commercial Services, Inc. provides commercial services. It offers factoring, receivable management products, and secured financing to businesses that operate in industries, including apparel, textile, furniture, and consumer electronics. The CIT Group/Commercial Services, Inc. was formerly known as The CIT Group/Factoring, Inc. and changed its name to The CIT Group/Commercial Services, Inc. in September, 1990. The company was founded in 1971 and is based in New York, New York. The CIT Group/Commercial Services, Inc. operates as a subsidiary of The CIT Group/Equipment Financing, Inc."
523,518,"New England Technology Finance, LLC",,No business description exists.
524,519,"Park Street Financial Services, LLC",,
525,520,BNP-Paribas,,"BNP Paribas SA provides a range of banking and financial services in Europe, North America, Asia Pacific, and internationally. The company offers corporate and institutional banking services, such as consulting, financing and transaction banking for corporate clients and institutional investors; capital markets investment and financing; securities clearing, and custody services. It also provides commercial, and personal banking and services, including financing and leasing services, financing of individuals, and digital banking services, as well as current and savings account products, equipment leasing and financing solutions, and consumer loans. In addition, the company offers investment and protection services, which includes borrowers’ insurance, which protects the insured party from the unexpected when taking out a mortgage, personal, auto, or consumer loan; savings and protection solutions comprising life insurance, employee savings, retirement savings, etc.; asset management, wealth management, and real estate services. The company was formerly known as Banque Nationale de Paris and changed its name to BNP Paribas SA in May 2000. BNP Paribas SA was founded in 1822 and is headquartered in Paris, France."
526,521,Bradley Rotter,,
527,522,Oxford Commercial Funding LLC.,,
528,523,Natixis.,Operating Subsidiary,"Absolute Asia Asset Management Limited is a privately owned investment manager. The firm primarily provides its services to pooled investment vehicles. It also caters to investment companies, public and private pension companies, insurance companies, wholesale wealth management banks, fund of funds managers, and family offices. The firm manages separate client focused equity portfolios. It also manages equity mutual funds for its clients. The firm invests in the public equity markets of Asia Pacific ex Japan. It invests in stocks of companies operating across all market capitalizations. The firm employs a fundamental research along with top-down and bottom up stock picking approaches while creating its investments. It conducts in-house research while making its investments. The firm was formerly known as IXIS Asset Management Asia, Ltd. It was founded in 1998 and is based in Singapore. Absolute Asia Asset Management Limited operates as a subsidiary of Natixis Global Asset Management, S.A."
529,524,Trinity Factoring Corp.,,
530,525,YC SUSI Trust,,
531,526,"G-III Leather Fashions, Inc.",,
532,527,NEC Corporation,,"NEC Corporation operates as a provider of information and communication technology solutions in Japan and internationally. The company operates in five segments: Public Solutions, Public Infrastructure, Enterprise, Network Services, and Global. It provides systems integration services comprising systems implementation and consulting; maintenance and support services; outsourcing and cloud services; and system equipment. The company also offers network infrastructure products, including core network equipment, mobile phone base stations, optical transmission systems, and routers and switches; and services and management solutions, such as operation support system (OSS), business support system (BSS), and services. In addition, it provides safer city solutions, including public safety, digital government, and digital finance; software services for service providers, including OSS/BSS; network infrastructure comprising submarine systems and wireless backhaul; and system devices, such as display and projectors, and energy storage systems. Further, the company offers hardware products, such as servers, mainframes, supercomputers, storage products, business and personal computers, point-of-sale systems, automatic teller machines, control equipment, and wireless LAN routers; and software products, including integrated operation management, application servers, security, and database software. It serves public, healthcare, government and media, manufacturing, retail and services, telecommunications, and finance industries. NEC Corporation has collaboration with Analog Devices, Inc. to provide a 5G Network Massive MIMO Antenna Radio Unit for Rakuten Mobile. The company was formerly known as Nippon Electric Company, Limited and changed its name to NEC Corporation in April 1983. NEC Corporation was incorporated in 1899 and is headquartered in Tokyo, Japan."
533,528,Lockbox Bank,,
534,529,"Columbia Partners, L.L.C. ",Operating Subsidiary,"Columbia Partners Private Capital is a principal investment firm specializing in direct and fund of fund investments. For direct investments, it specializes in venture debt, mezzanine, senior debt, growth capital, mid venture, late venture, later stage, expansion capital, buyout, and bridge investments in middle market and mature companies. For its fund of funds investments, the firm invests in private equity, venture, mezzanine lending, and related funds. The firm does not seek control investments. In direct investing, it prefers to invest in communications, telecommunications, media, health services, technology, and energy sectors. For its fund of funds investments, it prefers to invest in funds which focus on companies in the communications, telecommunications, media, energy, services and technology sectors. The firm seeks to invest in companies based in the United States and Canada. The firm invests in portfolio companies having equity investments between $10 million and $30 million and a target enterprise value between $40 million and $200 million. The firm seeks to invest in companies with debt investment value between $10 million and $30 million. It also prefers to invest in companies with sales vales between $5 million and $50 million and having a maximum target EBITDA of $20 million. For fund of fund investments, it invests between $5 million to $40 million in funds with a fund size between $250 million and $750 million and five or more years of successful investment history. It primarily invests through secured, structured, or convertible debt but also will consider equity investments. It may participate in the Boards of its portfolio companies when appropriate, but does not require a board seat in order to invest. It typically requires board observation rights. The firm seeks to exit its direct investments within five year investment period. The firm seeks to gain liquidity in seven years or less. Columbia Partners Private Capital was founded in 2002 and is based in Chevy Chase, Maryland. It is an operating subsidiary of Columbia Partners, LLC Investment Management."
535,530,"First Avenue Funding, LLC",,
536,531,"Farm Credit West, PCA",,
537,532,"Computer Contact Service, Inc",,
538,533,LSQ Funding Group L.C.,,
539,534,"E.S. Bankest, LLC",,
540,535,LINK2IT CORPORATION,Out of Business,"Digital Finans A/S went out of business. Digital Finans A/S, through a network of independent companies, offers information technology (IT) solutions. It specializes in various areas, such as management consulting, business strategy, IT strategy, sales strategy, project management, system design, consultancy, education, operating systems, and infrastructure. Digital Finans A/S was formerly known as LINK2-IT A/S. The company was incorporated in 2001 and is based in Roskilde, Denmark."
541,536,CIT Commercial  Services,Acquired,"CIT Commercial Services (Europe) GmbH provides factoring and financing solutions for mid-sized companies. The company also provides global trade finance solutions for importers and exporters. Its offers full factoring, credit protection, Import and export factoring, reverse marketing, and credit management services. It serves to automotive, food, steel and metal, solar power suppliers, packaging and paper, plastics, weaving mills and textile firms, and consumer goods industry. CIT Commercial Services (Europe) GmbH was formerly known as Enterprise Finance Europe GmbH as a result of the acquisition of Enterprise Finance Europe GmbH by CIT Group, Inc., it changed its name to CIT Commercial Services (Europe) GmbH in April, 2006. The company was founded in 2002 and is based in Frankfurt, Germany, with additional offices in Birmingham, Bristol/Cardiff, Cambridge, Leeds, London, Manchester, and Southampton in the United Kingdom; and Belfast, Ireland. As of April 21, 2006, CIT Commercial Services (Europe) GmbH operates as a subsidiary of CIT Group Inc."
542,537,"Res-Care, Inc.",Operating Subsidiary,"Res-Care, Inc., doing business as BrightSpring Health Services, provides home and community-based health services. It offers homecare, community living, family and youth, neuro rehabilitation, behavioral health, telecare and remote support, pharmacy, workforce, home health, and applied behavior analysis services; and hospice services, including routine and respite care, continuous care, community support services placement, medical management, dietary management, chaplain support, and bereavement specialist services. The company was founded in 1974 and is based in Louisville, Kentucky. As of March 5, 2019, Res-Care, Inc. operates as a subsidiary of PharMerica Corporation."
543,538,Spectrum Financial Corporation,Acquired,No business description exists.
544,539,Jupiter Securitization Corporation,,Jupiter Securitization Corporation was formerly known as International Securitization Corporation and changed its name to Jupiter Securitization Corporation in September 2000. The company is headquartered in the United States.
545,540,"Versant Funding, LLC",,
546,541,Oxford Receivables Company,,
547,542,LSQ Funding Group,,
548,543,Horizon Technology Finance Corporation,,"Horizon Technology Finance Corporation is a business development company specializing in lending and and investing in development-stage investments. It focuses on making secured debt and venture lending investments to venture capital backed companies in the technology, life science, healthcare information and services, and cleantech industries. It seeks to invest in companies in the United States."
549,544,"Sound Solutions Window & Doors, LLC",,
550,545,Merchant Factors Corp.,,"Merchant Factors Corp. is a specialty finance (commercial focused) company. It was founded in 1985 and is based in New York, New York."
